away_team,home_team,away_st_downs,home_st_downs,away_passing_st_downs,home_passing_st_downs,away_rushing_st_downs,home_rushing_st_downs,away_st_downs_from_penalties,home_st_downs_from_penalties,away_rd_down_efficiency,home_rd_down_efficiency,away_th_down_efficiency,home_th_down_efficiency,away_total_plays,home_total_plays,away_total_yards,home_total_yards,away_total_drives,home_total_drives,away_yards_per_play,home_yards_per_play,away_passing,home_passing,away_comp_att,home_comp_att,away_yards_per_pass,home_yards_per_pass,away_interceptions_thrown,home_interceptions_thrown,away_sacks_yards_lost,home_sacks_yards_lost,away_rushing,home_rushing,away_rushing_attempts,home_rushing_attempts,away_yards_per_rush,home_yards_per_rush,away_red_zone_made_att,home_red_zone_made_att,away_penalties,home_penalties,away_turnovers,home_turnovers,away_fumbles_lost,home_fumbles_lost,away_defensive_special_teams_tds,home_defensive_special_teams_tds,away_possession,home_possession,home_wins
24,26,33.0,26.0,20.0,17.0,10.0,7.0,3.0,2.0,0.6428571428571429,0.5,1.0,1.0,83.0,56.0,488.0,425.0,12.0,10.0,5.9,7.6,358.0,309.0,0.7708333333333334,0.7,7.0,7.5,0.0,0.0,0.0967741935483871,0.1111111111111111,130.0,116.0,32.0,15.0,4.1,7.7,0.8,1.0,0.10869565217391304,0.1346153846153846,1.0,2.0,1.0,2.0,0.0,2.0,2233,1367,0
4,28,20.0,15.0,11.0,10.0,6.0,4.0,3.0,1.0,0.29411764705882354,0.16666666666666666,0.0,0.0,73.0,61.0,313.0,309.0,13.0,12.0,4.3,5.1,177.0,251.0,0.5,0.625,5.2,5.7,0.0,1.0,0.18181818181818182,0.12903225806451613,136.0,58.0,39.0,17.0,3.5,3.4,0.5,0.0,0.13333333333333333,0.10204081632653061,0.0,3.0,0.0,2.0,0.0,0.0,2016,1584,0
23,14,18.0,14.0,9.0,12.0,8.0,2.0,1.0,0.0,0.3076923076923077,0.5333333333333333,0.0,0.0,61.0,55.0,345.0,263.0,11.0,11.0,5.7,4.8,200.0,190.0,0.6333333333333333,0.5666666666666667,6.3,5.8,1.0,1.0,0.15384615384615385,0.1875,145.0,73.0,29.0,22.0,5.0,3.3,0.14285714285714285,0.5,0.13333333333333333,0.13636363636363635,2.0,2.0,1.0,1.0,0.0,0.0,1937,1663,0
16,0,16.0,24.0,12.0,14.0,3.0,10.0,1.0,0.0,0.3333333333333333,0.38461538461538464,0.0,0.0,59.0,71.0,276.0,449.0,12.0,12.0,4.7,6.3,224.0,264.0,0.4857142857142857,0.8888888888888888,5.7,6.8,3.0,0.0,0.17391304347826086,0.2,52.0,185.0,20.0,32.0,2.6,5.8,0.3333333333333333,0.5,0.08571428571428572,0.08791208791208792,4.0,1.0,1.0,1.0,0.0,0.0,1436,2164,1
11,6,22.0,18.0,15.0,14.0,6.0,2.0,1.0,2.0,0.26666666666666666,0.16666666666666666,0.0,1.0,72.0,61.0,438.0,335.0,14.0,14.0,6.1,5.5,290.0,306.0,0.5675675675675675,0.6808510638297872,7.4,6.4,0.0,1.0,0.2,0.1111111111111111,148.0,29.0,33.0,13.0,4.5,2.2,0.25,0.3333333333333333,0.0967741935483871,0.1,0.0,3.0,0.0,2.0,0.0,0.0,2079,1521,0
15,2,24.0,15.0,17.0,7.0,7.0,6.0,0.0,2.0,0.45454545454545453,0.3333333333333333,0.5,0.0,88.0,55.0,470.0,286.0,12.0,12.0,5.3,5.2,356.0,168.0,0.6031746031746031,0.56,5.7,6.7,3.0,1.0,0.0,0.0,114.0,118.0,25.0,30.0,4.6,3.9,0.2,0.0,0.1,0.2,3.0,1.0,0.0,0.0,0.0,2.0,2044,1556,1
6,25,21.0,31.0,9.0,18.0,10.0,10.0,2.0,3.0,0.6153846153846154,0.7,0.0,1.0,64.0,67.0,478.0,458.0,11.0,11.0,7.5,6.8,270.0,318.0,0.6206896551724138,0.6,9.3,7.8,0.0,5.0,0.0,0.2,208.0,140.0,35.0,26.0,5.9,5.4,0.5714285714285714,0.6666666666666666,0.0958904109589041,0.07692307692307693,0.0,5.0,0.0,0.0,0.0,0.0,1955,1645,0
14,20,19.0,23.0,15.0,10.0,2.0,8.0,2.0,5.0,0.3333333333333333,0.4,1.0,1.0,65.0,66.0,356.0,251.0,11.0,11.0,5.5,3.8,322.0,127.0,0.5,0.6785714285714286,7.0,3.4,1.0,0.0,0.0,0.1875,34.0,124.0,19.0,29.0,1.8,4.3,0.5,0.6666666666666666,0.09782608695652174,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,0.0,1651,1949,1
21,19,22.0,19.0,18.0,18.0,4.0,1.0,0.0,0.0,0.3333333333333333,0.46153846153846156,1.0,0.0,74.0,58.0,446.0,348.0,14.0,12.0,6.0,6.0,353.0,308.0,0.68,0.717948717948718,6.5,7.2,0.0,0.0,0.13793103448275862,0.10256410256410256,93.0,40.0,20.0,15.0,4.7,2.7,0.5,0.75,0.11428571428571428,0.14285714285714285,2.0,0.0,2.0,0.0,0.0,0.0,1861,1739,1
31,4,14.0,21.0,6.0,12.0,7.0,6.0,1.0,3.0,0.09090909090909091,0.6111111111111112,0.6666666666666666,0.0,55.0,70.0,239.0,325.0,12.0,12.0,4.3,4.6,128.0,211.0,0.3333333333333333,0.6206896551724138,4.9,7.0,3.0,0.0,0.25,0.1111111111111111,111.0,114.0,29.0,40.0,3.8,2.9,0.0,0.6666666666666666,0.07792207792207792,0.15,4.0,0.0,1.0,0.0,0.0,0.0,1517,2083,1
